level_0,transaction_date,ticker,asset_description,type,amount,representative,timestamp,state,party_x,total_senate_years,total_house_years,total_years,total_raised,total_from_small_donors,percent_from_small_donors*,total_money_raised,start,day_30,day_30_stock_perc_diff,day_60,day_60_stock_perc_diff,day_90,day_90_stock_perc_diff,day_180,day_180_stock_perc_diff,sp_start,sp_30,sp_30_sp_perc_diff,sp_60,sp_60_sp_perc_diff,sp_90,sp_90_sp_perc_diff,sp_180,sp_180_sp_perc_diff
0,2020-03-18,CBRE,CBRE Group Inc Common Stock Class A,sale_partial,"$1,001 - $15,000",Susie Lee,1584504000,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,35.52000045776367,44.5,0.253,39.09000015258789,0.101,46.7400016784668,0.316,46.90999984741211,0.321,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
1,2020-03-24,CNC,Centene Corporation,purchase,"$1,001 - $15,000",Susie Lee,1585022400,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,48.72999954223633,69.23999786376953,0.421,64.83999633789061,0.331,63.36000061035156,0.3,61.13000106811523,0.254,2447.330078125,2797.800048828125,0.143,2955.449951171875,0.208,3083.760009765625,0.26,3319.469970703125,0.356
2,2020-03-31,DG,Dollar General Corporation,purchase,"$1,001 - $15,000",Susie Lee,1585627200,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,151.00999450683594,175.3000030517578,0.161,191.5,0.268,189.47999572753903,0.255,208.38999938964844,0.38,2584.590087890625,2912.429931640625,0.127,3055.72998046875,0.182,3130.010009765625,0.211,3298.4599609375,0.276
3,2020-02-21,ENV,"Envestnet, Inc",sale_partial,"$1,001 - $15,000",Susie Lee,1582261200,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,78.98999786376953,48.86000061035156,-0.381,55.4000015258789,-0.299,70.97000122070312,-0.102,80.23999786376953,0.016,3337.75,2237.39990234375,-0.33,2799.31005859375,-0.161,2991.77001953125,-0.104,3389.780029296875,0.016
4,2020-03-17,LKQ,LKQ Corporation,sale_partial,"$1,001 - $15,000",Susie Lee,1584417600,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,19.690000534057614,19.84000015258789,0.008,23.60000038146973,0.199,25.979999542236328,0.319,32.15999984741211,0.633,2529.18994140625,2799.550048828125,0.107,2863.699951171875,0.132,3115.340087890625,0.232,3340.969970703125,0.321
5,2020-02-05,NXST,"Nexstar Media Group, Inc. - Class A",sale_partial,"$1,001 - $15,000",Susie Lee,1580878800,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,125.08999633789062,97.8499984741211,-0.218,58.43000030517578,-0.533,78.33999633789062,-0.374,87.6500015258789,-0.299,3334.68994140625,2972.3701171875,-0.109,2663.679931640625,-0.201,2929.800048828125,-0.121,3271.1201171875,-0.019
6,2020-02-24,OKE,"ONEOK, Inc.",sale_partial,"$1,001 - $15,000",Susie Lee,1582520400,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,75.06999969482422,22.049999237060547,-0.706,29.20000076293945,-0.611,37.599998474121094,-0.499,26.8799991607666,-0.642,3225.889892578125,2447.330078125,-0.241,2797.800048828125,-0.133,3036.1298828125,-0.059,3397.159912109375,0.053
7,2020-03-09,OKE,"ONEOK, Inc.",sale_full,"$1,001 - $15,000",Susie Lee,1583726400,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,38.099998474121094,24.28000068664551,-0.363,29.75,-0.219,41.97999954223633,0.102,26.76000022888184,-0.298,2746.56005859375,2659.409912109375,-0.032,2881.18994140625,0.049,3190.139892578125,0.162,3426.9599609375,0.248
8,2020-03-16,QSR,Restaurant Brands International Inc. Common Shares,sale_full,"$1,001 - $15,000",Susie Lee,1584331200,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,35.560001373291016,41.66999816894531,0.172,51.0099983215332,0.434,56.20000076293945,0.58,54.5099983215332,0.533,2386.1298828125,2783.360107421875,0.166,2852.5,0.195,3113.489990234375,0.305,3340.969970703125,0.4
9,2020-02-25,COO,"The Cooper Companies, Inc.",sale_full,"$1,001 - $15,000",Susie Lee,1582606800,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,336.45001220703125,256.8900146484375,-0.236,293.2099914550781,-0.129,316.6300048828125,-0.059,301.6000061035156,-0.104,3128.2099609375,2475.56005859375,-0.209,2836.739990234375,-0.093,3029.72998046875,-0.031,3397.159912109375,0.086
10,2020-02-24,UNVR,Univar Solutions Inc.,sale_full,"$1,001 - $15,000",Susie Lee,1582520400,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,22.030000686645508,10.470000267028807,-0.525,11.890000343322756,-0.46,15.199999809265135,-0.31,17.670000076293945,-0.198,3225.889892578125,2447.330078125,-0.241,2797.800048828125,-0.133,3036.1298828125,-0.059,3397.159912109375,0.053
11,2020-03-17,USFD,US Foods Holding Corp.,sale_partial,"$1,001 - $15,000",Susie Lee,1584417600,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,12.329999923706055,15.970000267028807,0.295,17.149999618530273,0.391,19.989999771118164,0.621,23.45000076293945,0.902,2529.18994140625,2799.550048828125,0.107,2863.699951171875,0.132,3115.340087890625,0.232,3340.969970703125,0.321
13,2020-02-05,XPO,"XPO Logistics, Inc.",sale_partial,"$1,001 - $15,000",Susie Lee,1580878800,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,92.25,65.76999664306639,-0.287,50.22999954223633,-0.456,68.40000152587889,-0.259,75.0199966430664,-0.187,3334.68994140625,2972.3701171875,-0.109,2663.679931640625,-0.201,2929.800048828125,-0.121,3271.1201171875,-0.019
14,2020-03-13,BSX,Boston Scientific Corporation,sale_partial,"$1,001 -",Alan S. Lowenthal,1584072000,California,Democratic,0,8,8,$678648,$32768,4.83%,Raised over $100k,32.330001831054695,35.91999816894531,0.111,35.77000045776367,0.106,36.70000076293945,0.135,40.91999816894531,0.266,2711.02001953125,2846.06005859375,0.05,2820.0,0.04,3124.739990234375,0.153,3331.840087890625,0.229
15,2020-03-13,SPCE,"Virgin Galactic Holdings, Inc.",sale_partial,"$1,001 -",Alan S. Lowenthal,1584072000,California,Democratic,0,8,8,$678648,$32768,4.83%,Raised over $100k,14.6899995803833,19.030000686645508,0.295,16.540000915527347,0.126,15.350000381469727,0.045,17.399999618530273,0.184,2711.02001953125,2846.06005859375,0.05,2820.0,0.04,3124.739990234375,0.153,3331.840087890625,0.229
16,2020-07-02,CVS,CVS Health Corporation,sale_full,"$1,001 - $15,000",Robert J. Wittman,1593662400,Virginia,Republican,0,14,14,$5695157,$776359,13.63%,Raised over $100k,64.69999694824219,63.86000061035156,-0.013,60.27999877929688,-0.068,58.95000076293945,-0.089,68.08000183105469,0.052,3130.010009765625,3294.610107421875,0.053,3526.64990234375,0.127,3408.60009765625,0.089,3735.360107421875,0.193
17,2020-07-02,HD,Home Depot,purchase,"$1,001 - $15,000",Robert J. Wittman,1593662400,Virginia,Republican,0,14,14,$5695157,$776359,13.63%,Raised over $100k,248.5,266.17999267578125,0.071,285.94000244140625,0.151,282.1000061035156,0.135,269.25,0.084,3130.010009765625,3294.610107421875,0.053,3526.64990234375,0.127,3408.60009765625,0.089,3735.360107421875,0.193
18,2020-07-02,KMB,Kimberly-Clark Corp,purchase,"$1,001 - $15,000",Robert J. Wittman,1593662400,Virginia,Republican,0,14,14,$5695157,$776359,13.63%,Raised over $100k,143.1999969482422,151.60000610351562,0.059,154.25999450683594,0.077,149.52999877929688,0.044,133.94999694824222,-0.065,3130.010009765625,3294.610107421875,0.053,3526.64990234375,0.127,3408.60009765625,0.089,3735.360107421875,0.193
19,2020-07-02,RGLD,Royal Gold Inc,purchase,"$1,001 - $15,000",Robert J. Wittman,1593662400,Virginia,Republican,0,14,14,$5695157,$776359,13.63%,Raised over $100k,121.0500030517578,140.41000366210938,0.16,133.16999816894528,0.1,120.4000015258789,-0.005,106.8000030517578,-0.118,3130.010009765625,3294.610107421875,0.053,3526.64990234375,0.127,3408.60009765625,0.089,3735.360107421875,0.193
20,2020-07-02,V,Visa Inc,purchase,"$1,001 - $15,000",Robert J. Wittman,1593662400,Virginia,Republican,0,14,14,$5695157,$776359,13.63%,Raised over $100k,195.6699981689453,190.69000244140625,-0.025,213.3500061035156,0.09,203.5399932861328,0.04,212.6300048828125,0.087,3130.010009765625,3294.610107421875,0.053,3526.64990234375,0.127,3408.60009765625,0.089,3735.360107421875,0.193
21,2020-09-30,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Suzan K. DelBene,1601438400,Washington,Democratic,0,9,9,$2182985,$141769,6.49%,Raised over $100k,210.3300018310547,204.72000122070312,-0.027,214.07000732421875,0.018,217.69000244140625,0.035,236.47999572753903,0.124,3363.0,3310.110107421875,-0.016,3621.6298828125,0.077,3700.64990234375,0.1,3974.5400390625,0.182
22,2020-09-02,MSFT,Microsoft Corporation,sale_partial,"$5,000,001 - $25,000,000",Suzan K. DelBene,1599019200,Washington,Democratic,0,9,9,$2182985,$141769,6.49%,Raised over $100k,231.6499938964844,206.19000244140625,-0.11,202.3300018310547,-0.127,214.3600006103516,-0.075,232.3800048828125,0.003,3580.840087890625,3348.419921875,-0.065,3310.239990234375,-0.076,3699.1201171875,0.033,3811.14990234375,0.064
